hts10,cty_code,usmca_share
0709932025,2010,1
0709932028,1220,1
0709932028,2010,1
0709932030,2010,1
0709932032,2010,1
0709932035,1220,1
0709932035,2010,1
0709932038,1220,1
0709932038,2010,1
0709932055,1220,1
0709932055,2010,0.9995028964528121
0709932060,1220,1
0709932060,2010,1
0709932065,1220,1
0709932065,2010,0.9992189162130937
0709932070,1220,1
0709932070,2010,1
0709932075,1220,1
0709932075,2010,0.9997385487307838
0709932080,1220,1
0709932080,2010,1
0709932085,1220,0.9633415687517423
0709932085,2010,1
0709932090,1220,1
0709932090,2010,0.9989673639155346
0709933000,1220,1
0709933000,2010,1
0709990500,2010,1
0709991000,2010,1
0709991400,2010,0.9961222187330885
0709993000,1220,1
0709994500,1220,1
0709994500,2010,0.9998142564683081
0709999010,1220,1
0709999010,2010,0.9997614412928415
0709999030,1220,1
0709999030,2010,1
0709999080,1220,1
0709999080,2010,0.9998642252567185
0710100000,1220,1
0710212000,1220,0.9985309090023108
0710212000,2010,1
0710214000,1220,1
0710214000,2010,0.9976237582904816
0710221000,1220,0.9870133220531514
0710221500,1220,0.9819207575137802
0710222500,1220,1
0710222500,2010,1
0710223700,1220,0.9996371332354671
0710223700,2010,1
0710224010,1220,0.9948227412388329
0710224010,2010,1
